movies,genre,release_year_start,release_year_end,rating,one-line,director,stars,votes,runtime,gross_in_dollars
Put Your Head on My Shoulder,Comedy,2019,2019,8.0,"
Si Tu Mo's graduation is close and she's unsure of her future plans, she then meets genius Physics student Gu Wei Yi and the two accidentally end up living together.",TBD,"Xing Fei, 
Lin Yi, 
Tara Clance, 
Jingjing Chen
",1356,45.0,855000.0
Mercy Black,Horror,2019,2019,4.9,"
A woman is sent to a mental institution after stabbing her classmate in an attempt to conjure an evil spirit called, Mercy Black. Fifteen years later she's released, and must save her nephew, who has become obsessed with the phenomenon.",Owen Egerton,"Daniella Pineda, 
Austin Amelio, 
Elle LaMont, 
Lee Eddy
",3110,88.0,1210000.0
Kekkai Sensen,Animation,2015,2017,7.3,"
In a city where the paranormal and ordinary co-exist, the Libra organization battles to ensure peace and order.",TBD,"Daisuke Sakaguchi, 
Kazuya Nakai, 
Aaron Dismuke, 
Phil Parsons
",1784,24.0,10715000.0
The Parisian Agency: Exclusive Properties,Reality-TV,2021,Ongoing,7.0,"
A reality series about the family Kretz who sells apartments to rich customers in France and the rest of the world.",TBD,TBD,211,43.0,1360000.0
Edens Zero,Animation,2021,Ongoing,7.2,"
A young boy cut off from the world meets his friends and sets off on a hard, long journey to be reborn.",TBD,"Mikako Komatsu, 
Rie Kugimiya, 
Takuma Terashima
",251,24.0,10715000.0
50M2,Comedy,2021,Ongoing,7.0,"
After being betrayed by his boss, a hitman hides out in a vacant tailor shop, where he's mistaken for the late owner's son, an identity he decides to embrace.",TBD,"Engin Öztürk, 
Kürsat Alniaçik, 
Cengiz Bozkurt, 
Aybüke Pusat
",4632,45.0,855000.0
The Breadwinner,Animation,2017,2017,7.7,"
In 2001, Afghanistan is under the control of the Taliban. When her father is captured, a determined young girl disguises herself as a boy in order to provide for her family.",Nora Twomey,"Saara Chaudry, 
Soma Chhaya, 
Noorin Gulamgaus, 
Laara Sadiq
",22504,94.0,310000.0
Roboti Aniya,Comedy,2017,2018,8.0,"
Kim Min Gyu has wealth and success, but lives an isolated life due to his allergy of people. He then meets and falls in love with a girl who is pretending to be a robot for her ex-boyfriend, a genius robots professor.",TBD,"Seung-eon Hwang, 
Se-wan Park, 
Yoo Seung-ho, 
Chae Soo-bin
",3743,35.0,855000.0
Ghost Lab,Drama,2021,2021,5.2,"
After witnessing a haunting in their hospital, two doctors become dangerously obsessed with obtaining scientific proof that ghosts exist.",Paween Purijitpanya,"Thanapob Leeratanakachorn, 
Paris Intarakomalyasut, 
Nuttanicha Dungwattanawanich, 
Suquan Bulakul
",973,117.0,1360000.0
Murder Among the Mormons,Documentary,2021,2021,7.0,"
High-stakes exploits turn deadly - and shake a global church to its core - in the extraordinary true crime story.",TBD,"Dorie Hofmann Olds, 
Shannon Flynn, 
Brent Metcalfe, 
Richard Turley
",4914,160.0,120000.0
